ModulNr.1,ModulNr.2,Modultitel,Studiengang1,Studiengang2,Studiengang3,Studiengang4,Studiengang5,Studiengang6,Studiengang7,Studienart,Hochschule,Sprache,SWS Vorlesung,SWS Ringvorlesung,SWS Übung,SWS Seminar,SWS Übung/Seminar,SWS Tutorium,SWS Praktikum,SWS Exkursion,SWS Projekt,SWS Berufspraktikum,SWS Sprachkurs,SWS eLearning,Summe SWS,Arbeitsaufwand [h] ,Selbststudium [h] ,ECTS,PVL Referat,PVL Labor,PVL Beleg,PVL Teilnahme/Testat,PVL Protokoll,PVL Moderation,PL Klausur,PL mdl Prüfung,PL Referat,PL Präsentation,PL Belegarbeit,PL Seminararbeit,PL Projektarbeit,PL Praktikumsprotokoll,PL Praktikumsbericht,PL Exkursionsbericht,PL Laborarbeit,PL Forschungsplan,PL e-Learning Test,WS,SS,Moduldauer [Semester],Modulverantw,Mail_Kontakt,weitere Dozenten,Bemerkung
185400,,Simulation von Umweltsystemen,Biotechnologie und Angewandte Ökologie,Angewandte Mathematik,Biomathematik,,,,,Master,HSZG,Deutsch,"2,5",0,0,0,"0,5",0,1,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,Kästner,w.kaestner@hszg.de,0,
158800,,Biotechnik,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,"2,5",0,0,0,"0,5",0,2,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,"0,7",0,0,0,0,0,0,0,0,"0,3",0,0,1,0,,Hofrichter,,0,
158700,,Populationsgenetik,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,0,0,0,0,"0,5",0,"3,5",0,0,0,0,0,"4,0",180,120,6,0,0,0,0,0,0,"0,6",0,0,0,0,0,0,0,0,0,"0,4",0,0,1,0,,Heidger,c.heidger@hszg.de,Dörnchen-Neumann,
106030,,Toxikologie,Biotechnologie und Angewandte Ökologie,Molekulare Biotechnologie,,,,,,Master,HSZG,Deutsch,4,0,0,0,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,"0,7",0,0,0,"0,3",0,0,0,0,0,0,0,0,1,1,,Gey,m.gey@hszg.de,0,
157500,,Ökologische Biochemie,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,2,0,0,0,0,0,0,0,0,0,0,0,"2,0",90,60,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,Heidger,c.heidger@hszg.de,0,
157550,,Wissenschaftliche Probleme aus der Praxis,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,0,0,0,0,0,0,6,0,0,0,0,0,"6,0",240,150,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,"Hofrichter, Heidger, Fränzle, Kayser, Seidler, Liers, Ullrich ",hofrichter@ihi-zittau.de,0,
106610,,Allgemeine Ökologie,Biotechnologie und Angewandte Ökologie,Ökologie und Umweltschutz,,,,,,Master,HSZG,Deutsch,4,0,0,0,0,0,0,0,0,0,0,0,"4,0",120,60,4,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Heidger,c.heidger@hszg.de,Dörnchen-Neumann,@PVL Referat '158500-VR als Prüfungszulassung??'
157850,,Spezielle Aspekte der Botanik,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,1,0,0,0,2,0,1,0,0,0,0,0,"4,0",120,60,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Seidler ,seidler@ihi-zittau.de,0,geht in Rente
158100,,Umweltsysteme,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,6,0,0,0,0,0,0,0,0,0,0,0,"6,0",180,90,6,0,0,0,0,0,0,"0,25","0,75",0,0,0,0,0,0,0,0,0,0,0,0,1,,Seidler ,seidler@ihi-zittau.de,0,geht in Rente
158150,,Modellierung dynamischer Systeme,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,0,0,0,0,2,0,1,0,0,0,0,0,"3,0",90,45,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Kästner,w.kaestner@hszg.de,0,
157950,,Umwelt- und Bioanalytik,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,2,0,0,0,0,0,2,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,"0,75",0,0,0,0,0,0,0,0,"0,25",0,0,1,0,,"Hofrichter, Fränzle",hofrichter@ihi-zittau.de fraenzle@ihi-zittau.de,0,
158000,,Theorie und Praxis wissenschaftlichen Arbeitens,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,"0,5",0,0,0,"2,5",0,0,0,0,0,0,0,"3,0",120,75,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,Hofrichter,hofrichter@ihi-zittau.de,0,@PL Belegarbeit '(2 Versch. PB)'
158300,,Aquatische Aufbereitungstechnik,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,2,0,0,0,0,0,2,0,0,0,0,0,"4,0",120,60,4,0,0,0,0,0,0,0,"0,75",0,0,0,0,0,0,0,0,"0,25",0,0,0,1,,Kayser,kayser@ihi-zittau.de,0,
158450,,Umweltbiotechnologie,Biotechnologie und Angewandte Ökologie,,,,,,,Master,HSZG,Deutsch,"2,5",0,0,0,"0,5",0,0,0,0,0,0,0,"3,0",90,45,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,"Hofrichter, Wanner",hofrichter@ihi-zittau.de,0,
BIO-MA B1,,Phylogenie und Evolution,Biologie,,,,,,,Master,TUD,Deutsch,4,0,0,0,0,0,0,0,0,0,0,0,"4,0",180,120,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,2,Neinhus,christoph.neinhuis@tu-dresden.de,0,"gelb: 1 Tag  ~ 0,5 SWS"
BIO-MA B2,,Mikroorganismen/Pflanzen Interaktionen,Biologie,,,,,,,Master,TUD,Deutsch,3,0,0,0,0,0,0,0,0,0,0,0,"3,0",150,105,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,2,Ludwig-Müller,jutta.ludwig-mueller@tu-dresden.de,0,
BIO-MA B3,,Biogeographie,Biologie,,,,,,,Master,TUD,Deutsch,4,0,0,0,0,0,0,0,0,0,0,0,"4,0",180,120,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,2,Entzeroth,rudolf.entzeroth@tu-dresden.de,0,"Ohne Genetik: BIO-MA G1, G11 - 17 . Ohne Mikrobiologie: BIO-MA M1 - M20. Ohne BIO-MA F11, BIO-MA O1 - 04, BIO-MA O11, O12, O13, O14, O151, O16,  O21, O31, O51. BIO-MA A1, A2"
BIO-MA B12,,Biologie und Ökologie der Moose,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,0,1,F. Müller,Frank.Mueller@tu-dresden.de,0,
BIO-MA B13,,Vegetationskundliche Pflanzensoziologie,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,1,F. Müller,Frank.Mueller@tu-dresden.de,0,
BIO-MA B14,,Ausbreitungsbiologie: Früchte und Samen,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,1,Barbara Ditsch,bot.garten@tu-dresden.de,0,
BIO-MA B15,,Rasterelektronenmikroskopie,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,0,1,Neinhus,christoph.neinhuis@tu-dresden.de,0,
BIO-MA B16,,Phyloinformatik,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,0,1,Wanke,stefan.wanke@tu-dresden.de,0,
BIO-MA B17,,Phytopathologie,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1,1,Ludwig-Müller,jutta.ludwig-mueller@tu-dresden.de,0,
BIO-MA B18,,Exkursion Botanik,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,0,"2,5",0,0,0,0,"3,5",180,"127,5",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,1,F. Müller,Frank.Mueller@tu-dresden.de,0,
BIO-MA B19,,Exkursion Zoologie,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,0,"2,5",0,0,0,0,"3,5",180,"127,5",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,1,Entzeroth,rudolf.entzeroth@tu-dresden.de,0,
BIO-MA B20,,Blütenbiologie,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1,1,Barbara Ditsch,bot.garten@tu-dresden.de,0,
BIO-MA B21,,Nutzpflanzen der Erde,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,0,1,1,Neinhus,christoph.neinhuis@tu-dresden.de,0,
BIO-MA B22,,Biodiversität und Evolution - vom Werden und Vergehen der Pflanzenarten,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,1,0,1,Neinhus,christoph.neinhuis@tu-dresden.de,0,
BIO-MA Z1,,Physiologie,Biologie,,,,,,,Master,TUD,Deutsch,4,0,0,1,0,0,0,0,0,0,0,0,"5,0",210,135,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,1,Vollmer,guenter.vollmer@tu-dresden.de,0,
BIO-MA Z2,,Zelluläre Interaktion,Biologie,,,,,,,Master,TUD,Deutsch,4,0,0,0,0,0,0,0,0,0,0,0,"4,0",180,120,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1,1,Entzeroth,rudolf.entzeroth@tu-dresden.de,0,
BIO-MA Z3,,Entwicklungsbiologie,Biologie,,,,,,,Master,TUD,Deutsch,4,0,0,0,0,0,0,0,0,0,0,0,"4,0",180,120,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,1,Gutzeit,herwig.gutzeit@tu-dresden.de,,
BIO-MA Z11,,Reproduktionsbiologie,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,0,1,1,Gutzeit,herwig.gutzeit@tu-dresden.de,,
BIO-MA Z12,,Pflanzliche Entwicklung,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,1,0,1,Ludwig-Müller,jutta.ludwig-mueller@tu-dresden.de,,
BIO-MA Z13,,Wirkung von Naturstoffen,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,1,0,1,Gutzeit,herwig.gutzeit@tu-dresden.de,,
BIO-MA Z14,,Wirkung hormoneller Substanzen,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,1,0,1,Vollmer,guenter.vollmer@tu-dresden.de,,
BIO-MA Z15,,Praktikum Entwicklungsbiologie,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,0,1,1,Gutzeit,herwig.gutzeit@tu-dresden.de,,
BIO-MA Z16,,Parasit-Wirtsbeziehung,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,0,1,1,Entzeroth,rudolf.entzeroth@tu-dresden.de,,
BIO-MA Z17,,Parasiten in Geweben,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,1,0,1,Entzeroth,rudolf.entzeroth@tu-dresden.de,,
BIO-MA Z18,,Zellkommunikation,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,0,1,1,Vollmer,guenter.vollmer@tu-dresden.de,,
BIO-MA Z19,,Apoptose,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,4,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,0,1,1,Vollmer,guenter.vollmer@tu-dresden.de,,
BIO-MA O8,,Evolution der Insekten,Biologie,,,,,,,Master,TUD,Deutsch,2,0,0,0,0,0,0,0,0,0,0,0,"2,0",90,60,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,1,M. Nuß,matthias.nuss@senckenberg.de,,
BIO-MA O9,,Hydrobiologie,Biologie,,,,,,,Master,TUD,Deutsch,2,0,4,0,0,0,0,0,0,0,0,0,"6,0",240,150,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,1,1,2,Berendonk,thomas.berendonk@tu-dresden.de,,
BIO-MA O10,,Genetik und Zellbiologie der Entwicklung,Biologie,,,,,,,Master,TUD,Englisch,2,0,0,0,0,0,0,0,0,0,0,0,"2,0",90,60,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,Brand,michael.brand@biotec.tu-dresden.de,,
BIO-MA O101,,Molekulare Entwicklungsbiologie der Invertebraten,Biologie,,,,,,,Master,TUD,Englisch,1,0,0,1,0,0,4,0,0,0,0,0,"6,0",180,90,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,1,0,1,Brand,michael.brand@biotec.tu-dresden.de,,
BIO-MA O102,,Molekulare Entwicklungsbiologie der Vertebraten,Biologie,,,,,,,Master,TUD,Englisch,1,0,0,1,0,0,4,0,0,0,0,0,"6,0",180,90,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,0,1,1,Brand,michael.brand@biotec.tu-dresden.de,,
BIO-MA O103,,Current topics in stem and developmental biology,Biologie,,,,,,,Master,TUD,Englisch,0,0,0,2,0,0,0,0,0,0,0,0,"2,0",90,60,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,0,1,Brand,michael.brand@biotec.tu-dresden.de,,
BIO-MA O104,,Elektronenmikroskopie von Zellen und Geweben,Biologie,,,,,,,Master,TUD,Deutsch,2,0,0,0,0,0,3,0,0,0,0,0,"5,0",180,105,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,1,T. Kurth,michaelkurth@web.de,,
BIO-MA A3,,Biologisches Zeichnen,Biologie,,,,,,,Master,TUD,Deutsch,0,0,0,1,0,0,3,0,0,0,0,0,"4,0",120,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,1,Bernd Schulz,bernd.schulz@mailbox.tu-dresden.de,,
LM220,Geo-MA-S3,Landschaftsplanung im Kontext zur Raum- und Fachplanung,LA,,,,,,,Master,TUD,Deutsch,0,0,4,4,0,0,0,0,0,0,0,0,"8,0",300,180,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,Catrin Schmidt,catrin.schmidt@tu-dresden.de,0,
LM240,,Ökonomie / Bau- und Planungsrecht,LA,,,,,,,Master,TUD,Deutsch,3,0,1,0,0,0,0,0,0,0,0,0,"4,0",120,60,4,0,0,0,0,0,0,"0,5",0,0,0,"0,5",0,0,0,0,0,0,0,0,0,1,1,Prof. f. Bauökonomie,Ulrike.Mickan@tu-dresden.de,0,
LM245,,Landschaftsentwicklung (Projekt),LA,,,,,,,Master,TUD,Deutsch,0,0,0,0,0,0,0,0,2,0,0,0,"2,0",120,90,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Catrin Schmidt,catrin.schmidt@tu-dresden.de,0,
LM254,,Bauleitplanung,LA,,,,,,,Master,TUD,Deutsch,2,0,2,0,0,0,0,0,0,0,0,0,"4,0",120,60,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Wolfgang Wende,W.Wende@ioer.de,0,
LM257,,Raumordnung für Landschaftsarchitekten,LA,,,,,,,Master,TUD,Deutsch,3,0,0,0,0,0,0,0,0,0,0,0,"3,0",120,75,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,Weitkamp,landmanagement@mailbox.tu-dresden.de,0,
LM261,,Landschaftsklima,LA,,,,,,,Master,TUD,Deutsch,1,0,0,"0,5",0,0,"0,5",0,0,0,0,0,"2,0",150,120,5,0,0,0,0,0,0,"0,7",0,0,0,0,0,0,"0,3",0,0,0,0,0,0,1,1,Bernhofer,christian.bernhofer@tu-dresden.de,0,
LM262,FOMF 19,Bodenschutz,LA,Forstwissenschaften,,,,,,Master,TUD,Deutsch,2,0,1,1,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,"0,5",0,"0,5",0,0,0,0,0,0,0,0,0,0,0,1,1,Kalbitz,karsten.kalbitz@tu-dresden.de,0,
LM263,UWMRN 2.12,"Umweltbelastungen: Prophylaxe, Sanierung, Bewertung",LA,,,,,,,Master,TUD,Deutsch,4,0,0,0,0,0,0,"0,5",0,0,0,0,"4,5",150,"82,5",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fischer,axel_rene.fischer@tu-dresden.de,0,
LM264,FOMF 16,Management und Monitoring in Schutzgebieten,LA,Forstwissenschaften,,,,,,Master,TUD,Deutsch,1,0,1,1,0,0,0,1,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,"0,6","0,4",0,0,0,0,0,0,0,0,0,0,0,1,1,v.Oheimb,Goddert_v_Oheimb@tu-dresden.de,0,
LM265,,Waldbau für Landschaftsarchitekten,LA,,,,,,,Master,TUD,Deutsch,2,0,0,0,0,0,0,"0,25",0,0,0,0,"2,3",120,"86,25",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Wagner,holger.fischer@forst.tu-dresden.de,0,
LM266,,Wasserbauten - Elemente der Kulturlandschaft,LA,,,,,,,Master,TUD,Deutsch,2,0,1,0,0,0,0,0,0,0,0,0,"3,0",120,75,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Stamm,Juergen.Stamm@tu-dresden.de,0,
LM267,,Bestimmungsübungen und Exkursionen Zoologie,LA,,,,,,,Master,TUD,Deutsch,0,0,0,0,0,0,4,2,0,0,0,0,"6,0",120,30,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Rudolf Entzeroth,rudolf.entzeroth@tu-dresden.de,0,
LM274,,IKT 4 - Anwendung von Informations- und Kommunikationstechnologien,LA,,,,,,,Master,TUD,Deutsch,1,0,0,0,3,0,0,0,0,0,0,0,"4,0",120,60,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Silke Molch,silke.molch@tu-dresden.de,0,
LM275,,Fernerkundung,LA,,,,,,,Master,TUD,Deutsch/Englisch,2,0,0,2,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,"0,7",0,0,0,"0,3",0,0,0,0,0,0,0,0,0,1,1,E. Csaplovics,csaplovi@rcs.urz.tu-dresden.de,0,
LM351,FOMF 05,Internationale Prozesse zum Schutz und zur nachhaltigen Bewirtschaftung von Wäldern,LA,Forstwissenschaften,,,,,,Master,TUD,Deutsch,3,0,0,1,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Weber,nweber@forst.tu-dresden.de,0,
LM352,FOMF 23,Stoffhaushalt terrestrischer Biogeosysteme,LA,Forstwissenschaften,,,,,,Master,TUD,Deutsch,1,0,1,1,0,0,0,1,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Feger,fegerkh@forst.tu-dresden.de,0,
LM355,(FOMF 10),(Forstrechtliche und Forstgeschichtliche Grundlagen),LA,Forstwissenschaften,,,,,,Master,TUD,Deutsch,2,0,0,0,0,0,2,0,0,0,0,0,4,150,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Weber,nweber@forst.tu-dresden.de,,
LM356,FOBF 21,Forst- und Naturschutzpolitik,LA,Forstwissenschaften,,,,,,Master,TUD,Deutsch,3,0,1,0,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Weber,nweber@forst.tu-dresden.de,,
LM357,,Naturnahe Gestaltung von Fließgewässern,LA,,,,,,,Master,TUD,Deutsch,2,0,1,0,0,0,0,0,0,0,0,0,"3,0",120,75,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Jürgen Stamm,Juergen.Stamm@tu-dresden.de,,
LM358,,Verkehrsökologie: Verkehrsökologie 1 und Verfahren der Verkehrsökologie 1,LA,Bahnsystemingenieurwesen,Wirtschaftsingenieurwesen,,,,,Master,TUD,Deutsch,4,0,0,0,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Udo Becker,verkehrsoekologie@tu-dresden.de,,
LM363,,IKT 5 - Anwendung von Informations- und Kommunikationstechnologien,LA,,,,,,,Master,TUD,Deutsch,1,0,0,3,0,0,0,0,0,0,0,0,"4,0",120,60,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Silke Molch,silke.molch@tu-dresden.de,,
LM364,,Fernerkundung und Planung,LA,,,,,,,Master,TUD,Deutsch/Englisch,1,0,0,3,0,0,0,0,0,0,0,0,"4,0",120,60,4,0,0,0,0,0,0,0,0,"0,5",0,0,"0,5",0,0,0,0,0,0,0,1,0,1,E. Csaplovics,csaplovi@rcs.urz.tu-dresden.de,,
LM365,,Geodateninfrastrukturen,LA,Geographie,Hydrologie,Raumressourcen,,,,Master,TUD,Deutsch,2,0,1,0,0,0,0,0,0,0,0,0,"3,0",150,105,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Bernard,Lars.Bernard@tu-dresden.de  ,,
UWMRN 1.1,,Raumentwicklung,RN,,,,,,,Master,TUD,Deutsch/Englisch,"3,5",1,0,3,0,1,0,0,0,0,0,0,"8,5",300,"172,5",10,0,0,0,0,0,1,0,"0,5",0,0,0,"0,5",0,0,0,0,0,0,0,1,0,1,Müller,b.mueller@ioer.de,"Janssen, Rößler",
UWMRN 1.2,,Naturressourcen,RN,,,,,,,Master,TUD,Deutsch/Englisch,"3,5",1,0,3,0,0,0,0,0,0,0,0,"7,5",300,"187,5",10,0,0,0,0,0,0,0,"0,75","0,25",0,0,0,0,0,0,0,0,0,0,1,0,1,Feger,fegerkh@forst.tu-dresden.de,"Roth, Kalbitz, Berendonk",
UWMRN 1.3,,Spezielle Methoden der Raumentwicklung,RN,,,,,,,Master,TUD,Deutsch,2,0,0,2,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Müller,b.mueller@ioer.de,"Knippschild, Leimbrok, Blum",
UWMRN 1.4,,Methoden Naturressourcen,RN,,,,,,,Master,TUD,Deutsch,0,0,0,0,0,0,5,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Bernhofer,christian.bernhofer@tu-dresden.de,"Roth, Feger, Kalbitz, v.Oheimb, Moderow, Brackhage",
UWMRN 1.5,,Raumentwicklungsprojekt,RN,,,,,,,Master,TUD,Deutsch/Englisch,0,0,0,0,0,0,0,0,6,0,0,0,"6,0",300,210,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Müller,b.mueller@ioer.de,"Wende, Schiappacasse, Rößler, Otto",
UWMRN 1.6,,Naturressourcenprojekt,RN,,,,,,,Master,TUD,Deutsch,0,0,0,0,0,0,0,0,6,0,0,0,"6,0",300,210,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,Kalbitz,karsten.kalbitz@tu-dresden.de,"Feger, Bernhofer, Brackhage",
UWMRN 1.7,,Berufspraxis,RN,,,,,,,Master,TUD,Deutsch,0,0,0,0,0,0,0,0,0,0,0,0,"0,0",300,300,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,Müller,b.mueller@ioer.de,Brackhage,
UWMRN 2.1.1,,"Biologische Prozesse – Strukturen, Prinzipien und Mechanismen",RN,Forstwissenschaften (Bsc.),,,,,,Master,TUD,Deutsch,"2,5",0,0,"1,5",0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Roloff,,"Roth, Krabel",
UWMRN 2.1.2,,Böden und Standorte,RN,Forstwissenschaften (Bsc.),,,,,,Master,TUD,Deutsch,2,0,0,2,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Kalbitz,karsten.kalbitz@tu-dresden.de,Feger,
UWMRN 2.1.3,,Landschaftsökologie (Grundlagen Ökologie und Umweltschutz),RN,,,,,,,Master,TUD,Deutsch,2,0,0,2,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,"0,6",0,"0,4",0,0,0,0,0,0,0,0,0,0,1,0,1,Feger / Dudel?,,Brackhage,
UWMRN 2.1.4,,Geomorphologie und Geologie,RN,,,,,,,Master,TUD,Deutsch,3,0,0,1,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Kleber,arno,,
